chapter_id,category,chapter_title,section_title,experiment,relationship,evidence_title,evidence_date,evidence_researcher
ID,研究カテゴリー,章,タイトル,どんな実験・結果？ ,なぞかけとの関係性,論拠となる研究,時期,研究者
1.1,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,アハ体験と右半球・前上側頭回の活性化,被験者に「言葉のパズル」を解いてもらい、その最中の脳の血流をfMRI（巨大な磁石のトンネルに入る脳スキャン装置）で観察しました。すると、論理的にコツコツ考えた時とは違い、「あ！わかった！」と直感的にひらめいた瞬間、右耳の少し上から前方にかけて（右半球の前上側頭回）がピカッと強く活性化することが分かりました。,「AとかけてBと解く、その心はC」のCを聞いた瞬間、最初は「ん？」と思っても、次の瞬間に「ああ、そういうことか！」と意味が繋がりますよね。この時、一見無関係に見えたAとBの共通点を脳が劇的に結びつけ、アハ体験（強い納得感）を生み出しています。,洞察（ひらめき）問題解決時の神経活動に関する研究,2004年,マーク・ビーマン（ノースウェスタン大学）、ジョン・クーニオス（ドレクセル大学）ら
1.2,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,準備電位と「整いました」の相関,人に「好きなタイミングで手首を動かしてください」と指示し、脳波と筋肉の動きを測定しました。すると、本人が「よし、今動かそう」と意識で決定する約0.3〜0.5秒も前に、脳波にはすでに「動くための準備（準備電位）」が現れていることが発見されました。,芸人さんがパッと手を叩いて「整いました！」と声を発する瞬間。実は本人が「よし、言おう」と意識するコンマ数秒前に、脳はすでに無意識のレベルで「発声し、手を動かす」ための運動プログラムのGOサイン（準備）を出している状態と言えます。つまり、「整いました」と宣言するための身体的な準備は、意識的な意図よりも先に始まっているのです。,自発的な運動と意識的な意図（準備電位）に関する研究,1983年,ベンジャミン・リベット（カリフォルニア大学サンフランシスコ校）ら
1.3,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,ひらめきの瞬間のガンマ波バースト,ひらめき問題を解いている時の脳波（電気信号）を細かく分析した実験です。ひらめいて答えが分かった瞬間の約0.3秒前に、右脳の側頭部から「ガンマ波」と呼ばれる非常に細かい波（高周波数）が突発的に発生（バースト）することが分かりました。,「その心は？」の後、一瞬の間があってから「なるほど！」と膝を打ちますよね。あのオチを理解した瞬間、脳の特定の領域（右脳の側頭部）で細かい波が突発的に発生し、情報が瞬時に統合されることで「わかった！」というスッキリ感を作り出しています。,ひらめき時の脳波（EEG）バーストに関する研究,2004年,ジョン・クーニオス、マーク・ビーマンら
1.4,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,報酬系ネットワークの活性化と「上手さ」の評価,被験者に「面白いジョークやマンガ」を見せながら脳の活動を観察しました。すると、ジョークを理解して「面白い！」と感じた時、ドーパミンを主要な伝達物質とする脳の奥深くの「報酬系ネットワーク」が強く活性化することが分かりました。面白ければ面白いほど、この活動は強くなりました。,なぞかけを聞いて「うまい！座布団一枚！」と感じる時、脳内ではご褒美として報酬系ネットワークが強く働いています。なぞかけの鮮やかさ（2つの言葉の見事な掛かり具合）は、脳にとって上質なご馳走であり、それが強烈な快感と笑いに繋がるのです。,ユーモアが中脳辺縁系の報酬中枢を調節するメカニズムの研究,2003年,ディーン・モブス（スタンフォード大学）ら
1.5,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,なぞかけ生成時の前頭前野の血流変化,NIRS（頭に光を当てて血流を測る手軽なセンサー）を使い、新しいアイデアをひねり出したり、複数の情報を同時に頭に留めておく（ワーキングメモリ）作業中の脳を測定しました。すると、単に話を聞いている時と比べ、自分で考えを組み立てる時は「脳の司令塔」であるおでこの裏側（前頭前野）の血流が急増し、フル回転していることが分かりました。,他人のなぞかけを「聞く（解く）」のはアハ体験の快感ですが、自分で「作る」となると話は別です。お題から複数の概念を同時に頭に保持しつつ、当たり前の連想を「抑制」し、別の意味を持つ同音異義語を探して綺麗に繋ぎ合わせる……これは脳の司令塔（前頭前野）の「実行機能（Executive Function）」をフル稼働させ、猛烈な負荷をかける極めて高度な知的トレーニングと言えます。,創造的思考やワーキングメモリ負荷時の前頭前野の活動に関するNIRS研究（※特定の1つの論文ではなく、脳科学における広く確立された知見です）,（記載なし）,（記載なし）
1.6,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,デフォルトモードネットワーク（DMN）の関与,被験者に「何も考えず、ただぼんやり休んでください」と指示して脳の血流を調べました。すると、脳は休んでいるどころか、特定のネットワーク（DMN）が活発にエネルギーを消費していることが2001年に発見されました。さらに後年の研究によって、このDMNが記憶の整理や情報の結びつけを無意識に行っていることが分かってきました。,「Aとかけて…」と考え込む時、机に向かって必死に集中するよりも、お風呂に入っている時や散歩中など、少し気を抜いて「ぼんやり（アイドリング）」している時の方が良いアイデアが降ってきますよね。これは、DMNが普段は結びつかないような遠く離れた言葉同士（AとB）のアイデアの種を脳内で自由に広げ、最終的に脳の司令塔である「前頭葉」がそれを拾い上げて論理的なオチとして完成させてくれるからです。,デフォルトモードネットワーク（DMN）の発見と概念化,2001年,マーカス・レイクル（ワシントン大学）ら
1.7,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,同音異義語処理と左前頭葉の反応,同じ音で複数の意味を持つ言葉（例：「くも」＝雲・蜘蛛）を聞いた際の脳活動を、MEG（脳磁図）やfMRIという装置で測定しました。すると、言葉の辞書である「ウェルニッケ野（左側頭葉）」から複数の意味が引き出され、司令塔である「左の前頭葉」が強く反応して交通整理を行い、文脈に合う正しい意味を瞬時に選び出すことが分かりました。,なぞかけの命である「オチ（掛詞）」を聞いた瞬間、脳内では「2つの異なる意味」が同時に検索されます。左の前頭葉が「なるほど、ここではこの2つの意味が同時に成立しているんだ！」と瞬時に交通整理をしてくれるおかげで、私たちは言葉遊びの巧妙さに気づき、「うまい！」と感心することができるのです。,意味的曖昧さ（多義語・同音異義語）の処理に関する脳機能イメージング研究,2005年,ジェニファー・ロッド（ユニバーシティ・カレッジ・ロンドン）ら
1.8,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,解けなかった時の島皮質反応,「正解すればご褒美がもらえる」という期待を持たせた上で、わざと解けない課題を出したり、期待を裏切ったりした時の脳を調べました。すると、フラストレーション（欲求不満）を感じた瞬間に、「島皮質（とうひしつ：不快感のセンサー）」がチカチカと不快感のシグナルを出すことが分かりました。,「その心は？」と言われてオチを聞いたのに、知識不足や掛詞の難解さで意味が全く分からなかった時。「なぜ周りのみんなは笑っているんだ？」というモヤモヤした小さなストレスが島皮質を刺激します。アハ体験（スッキリ感）が得られない状態は、脳にとって一種の「軽いエラー状態」であり、不快感に繋がってしまいます。,期待された報酬の欠如（フラストレーション）による島皮質等の活性化に関する研究,2005年,ビルギット・アブラー（ウルム大学）ら
1.9,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,難易度による認知負荷とシータ波の変動,暗算や記憶課題など、頭を使う作業の難易度を少しずつ上げていきながら脳波を測定しました。問題が難しくなって脳の負担（認知負荷）が増すにつれて、おでこのあたり（前頭部）から「シータ波」と呼ばれる特定の脳波（集中・記憶の波）が強く現れることが分かりました。,誰でも思いつくような簡単なものではなく、複数のお題が絡むような高度ななぞかけを振られた時。「えーっと、あれの特徴はこれで、似た言葉は…」と、脳のメモ帳（ワーキングメモリ）を限界まで使って粘り強く考えている状態の時、私たちの脳波は強いシータ波を放ちながらフル稼働しています。,ワーキングメモリの負荷と前頭部シータ波（Fm-theta）の増加に関する研究,1997年,アラン・ゲヴィンス（EEGシステムズ研究所）ら
