ID,型,お題,属性,心の読み,A側の表記,B側の表記,掛けた対象,完成文章,人間の評価
改良前,完全な同音異義語型,満員電車,人がぎっしり詰め込まれている様子,つまる,詰まる,詰まる,風邪をひいたときの鼻,満員電車とかけて、風邪をひいたときの鼻と解く、その心は「どちらも詰まる」でしょう。,３
改良前,完全な同音異義語型,満員電車,多くの人が乗り込む様子,のる,乗る,乗る,気分が盛り上がっている人,満員電車とかけて、気分が盛り上がっている人と解く、その心は「どちらも乗っている」でしょう。,３
改良前,完全な同音異義語型,満員電車,大勢の乗客で重量が増す様子,おもい,重い,重い,告白の言葉,満員電車とかけて、告白の言葉と解く、その心は「どちらも重い」でしょう。,
改良前,多義語型,満員電車,隙間なく体を寄せる、間隔を狭くする,詰める,体を詰める,王手を詰める,将棋の終盤,満員電車とかけて、将棋の終盤と解く、その心は「どちらも『詰める』ことが重要になる」でしょう。,３
改良前,多義語型,満員電車,多くの乗客が直立している様子,立つ,立っている,計画が立つ,新規プロジェクトの計画,満員電車とかけて、新規プロジェクトの計画と解く、その心は「どちらも『立つ』ことが必要」でしょう。,
改良前,多義語型,満員電車,多くの人が荷物を手にしている様子,抱える,荷物を抱える,問題を抱える,多くの課題を抱えた経営者,満員電車とかけて、多くの課題を抱えた経営者と解く、その心は「どちらも『抱える』ものがたくさんある」でしょう。,
改良前,フレーズ・慣用句型,満員電車,人の多さで身動きが取れない物理的な状態,身動きが取れない,人の多さで身動きが取れない,窮状で身動きが取れない,借金まみれの経営者,満員電車とかけて、借金まみれの経営者と解く、その心は「どちらも身動きが取れない」でしょう。,
改良前,フレーズ・慣用句型,満員電車,人が密着して肩が触れ合う様子,肩を寄せ合う,物理的に肩を寄せ合う,協力し合って肩を寄せ合う,苦しい家計をやりくりする夫婦,満員電車とかけて、苦しい家計をやりくりする夫婦と解く、その心は「どちらも肩を寄せ合っている」でしょう。,３
改良前,フレーズ・慣用句型,満員電車,息苦しさや静かな雰囲気に、無意識に呼吸を抑える様子,息を潜める,息苦しくて息を潜める,気配を消して息を潜める,獲物を狙うハンター,満員電車とかけて、獲物を狙うハンターと解く、その心は「どちらも息を潜めている」でしょう。,
改良前,完全な同音異義語型,人工知能,複雑な問題を高速に処理し「計算」を導き出すことができます。,けいさん,計算,珪酸,理科の実験で使う液体,人工知能とかけて、理科の実験で使う液体と解く。その心は、どちらも「けいさん」するでしょう。,
改良前,完全な同音異義語型,人工知能,膨大なデータを処理し、日々能力が向上（成長）します。,せいちょう,成長,生長,植物,人工知能とかけて、植物と解く。その心は、どちらも「生長」するでしょう。,
改良前,完全な同音異義語型,人工知能,複雑な情報を処理して「判断」を下します。,はんだん,判断,半田,電子回路の部品を繋ぐ素材,人工知能とかけて、電子回路の部品を繋ぐ素材と解く。その心は、どちらも「はんだん」するでしょう。,
改良前,多義語型,人工知能,膨大なデータから状況を正確に「読み解き」ます。,よみ,読み,読み,本を読むこと,人工知能とかけて、本を読むことと解く。その心は、どちらも「読み」が大切でしょう。,
改良前,多義語型,人工知能,プログラムによって正確な「動き」をします。,うごき,動き,動き,スポーツ選手,人工知能とかけて、スポーツ選手と解く。その心は、どちらも「動き」が重要でしょう。,
改良前,多義語型,人工知能,膨大なデータと複雑なパターンを瞬時に「理解」します。,りかい,理解,理解,親友,人工知能とかけて、親友と解く。その心は、どちらも相手の心を「理解」しようとするでしょう。,
改良前,フレーズ・慣用句型,人工知能,メンテナンス時以外は、24時間365日「休まず働く」ことができます。,やすまず はたらく,休まず働く,休まず働く,アリの群れ,人工知能とかけて、アリの群れと解く。その心は、どちらも「休まず働く」でしょう。,
改良前,フレーズ・慣用句型,人工知能,プログラムされた通りに、常に「間違いがない」処理を行います。,まちがいが ない,間違いがない,間違いがない,ベテランの職人,人工知能とかけて、ベテランの職人と解く。その心は、どちらも「間違いがない」でしょう。,
改良前,フレーズ・慣用句型,人工知能,膨大なデータを学習し、日ごとに新しい「知恵がつく」ようになります。,ちえが つく,知恵がつく,知恵がつく,成長期の子供,人工知能とかけて、成長期の子供と解く。その心は、どちらも「知恵がつく」でしょう。,
,完全な同音異義語型,窯から出したばかりの火傷しそうなほど熱いパン,物理的に温度が高いこと,あつい,熱い,厚い,分厚い辞書,窯から出したばかりの火傷しそうなほど熱いパンとかけて、分厚い辞書と解く。その心は「どちらも『あつい』でしょう。」,
