Category,Category_Description,Chapter_Title,ID,Title,Analysis,Relation_to_Nazokake,Basis_Research_Title,Basis_Research_Year,Basis_Research_Researcher
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.1,多義語における中心義と周辺義のネットワーク距離測定,認知意味論において、多義語は単なる辞書的な意味の羅列ではなく、人間の身体的・物理的な基本経験に基づく「中心義（プロトタイプ）」から、メタファー（隠喩）やメトニミー（換喩）を介して放射状に拡張した「ネットワーク」として捉えられます。ジョージ・レイコフは、空間を表す前置詞（例えば「over」など）の分析を通じて、人間が抽象的な概念を理解する際に、いかに中心義から意味を派生・拡張させているかという認知プロセスを明らかにしました。この意味拡張の軌跡を理論化することで、ある単語の「中心義」から「周辺義」がどれだけ認知的に離れているかという「ネットワーク距離」を測ることが可能となります。,なぞかけの「落ち（その心は）」となる単語（C）は、しばしばこの多義語のネットワーク距離を巧みに利用しています。「AとかけてBと解く」において、お題である「A」が単語Cの具体的な中心義を引き出し、解きの「B」がそこから遠く離れた抽象的な周辺義を引き出す（あるいはその逆の）構造を持っています。優れたなぞかけは、このネットワーク距離が遠ければ遠いほど、つながりを発見した際のアハ体験（認知的快感）を増幅させます。聞き手は一瞬のうちに単語Cに内在する広大な意味のネットワークを跳躍し、中心と周辺をつなぐ見えない橋渡しを脳内で完了させているのです。,"『Women, Fire, and Dangerous Things』（多義語の放射状カテゴリー理論）",1987年,ジョージ・レイコフ（カリフォルニア大学バークレー校）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.2,同音異義語（ホノニム）の衝突が生み出す意味的曖昧性の意図的保持,音韻が同一でありながら意味が全く異なる「同音異義語（ホモニム）」は、言語伝達においてはノイズとなり得るため、通常は文脈によって速やかに一方の意味に絞り込まれ、曖昧性が排除されます。しかし、ヴィクター・ラスキンが提唱した「ユーモアの意味論的スクリプト理論（SSTH）」によれば、ユーモアや言葉遊びは、全く異なる2つの文脈（スクリプト）が1つのテキスト内で意図的に重なり合い、衝突することで生じます。あえて意味を早期に一つに確定させず、曖昧性を「意図的に保持」したままテキストを進行させることで、最終的な解釈の急転換や知的驚きを生み出すメカニズムが解明されています。,なぞかけとは、まさに「同音異義語の衝突」を極限まで洗練させたフォーマットです。お題の「A」と解きの「B」は、それぞれ全く交わらないスクリプト（文脈）を持っています。聞き手は「その心は？」と問われるまでの間、いかにしてこの無関係な2つが結びつくのかという「不可解さの宙吊り状態」を楽しみます。そして「C」という同音異義語が音声として提示された瞬間、意図的に保持されていた意味的曖昧性が一気に活性化されます。Cが持つ2つの全く異なる意味が架け橋となり、対立していたAとBのスクリプトが同一音韻の中で見事に和解し、意味の衝突が解消されるというカタルシスを味わう構造になっています。,『Semantic Mechanisms of Humor』（ユーモアの意味論的スクリプト理論：SSTH）,1985年,ヴィクター・ラスキン（パデュー大学）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.3,全体語（ホロニム）と部分語（メロニム）の階層的逸脱,語彙意味論では、単語間の関係性を体系的に記述します。その中で「全体と部分」の関係を表すのが全体語（ホロニム：例「木」）と部分語（メロニム：例「葉」）です。D.A.クルーズは、こうした語彙的関係性が厳密な論理的階層（タクソノミー等）を持つ一方で、日常言語や修辞表現においては、部分が全体を代用したり（提喩）、階層のレベルが意図的に混同されたりする「逸脱」が頻繁に起こることを指摘しました。人間は厳密な論理ツリーに縛られることなく、文脈や認知的な焦点に応じて階層を柔軟にショートカットしながら意味を構成・理解していることが分かっています。,なぞかけの醍醐味は、この「階層的逸脱」をレトリックとして大胆に活用する点にあります。たとえば「日本」という巨大な全体語（ホロニム）をお題（A）としたとき、解きの接点となる落ち（C）の要素として「富士（山）」という極小の部分語（メロニム）が抽出されることがあります（例：「日本」とかけて「安産」と解く。その心は、どちらもフジ（富士／無事））。なぞかけは、論理的な階層を一段ずつ辿るのではなく、全体から部分へと一気に飛躍（ズームイン）する認知的ショートカットを行っています。論理的な階層のズレを逆手にとり、部分と全体を非連続的に結びつけることで、聞き手の視点に急激なズームイン・ズームアウトを引き起こし、日常的な言語体系からの心地よい「逸脱」を創出していると言えます。,『Lexical Semantics』（語彙的意味論における部分-全体関係の体系化）,1986年,D.A. クルーズ（マンチェスター大学）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.4,プロトタイプ理論に基づく「お題」と「解」のカテゴリー逸脱度の定量化,人間が事物をカテゴリー化する際、明確な境界線があるわけではなく、そのカテゴリーの「最も典型的な例（プロトタイプ）」を中心としたグラデーション状の広がりを持っていることが分かりました。たとえば「鳥」というカテゴリーにおいて、スズメはプロトタイプに近く典型度が高いですが、ペンギンやダチョウは中心から遠く「カテゴリーからの逸脱度」が高い周辺的なメンバーと認識されます。この理論は、人間の認知がデジタルな分類ではなく、アナログでファジーな中心・周辺構造によって成り立っていることを証明しました。,なぞかけの面白さは、この「カテゴリー逸脱度」を意図的に操作するところにあります。「A（お題）」と「B（解）」には、本来なら同じカテゴリーに属さない、逸脱度が高い（心理的距離が極めて遠い）概念が選ばれます。しかし、「C（オチ）」が提示された瞬間、AとBの背後に隠れていた共通の属性が突如として立ち現れます。つまりなぞかけとは、C（オチ）という強力な共通属性をプロトタイプ的な核として、本来交わるはずのない最も遠い周辺メンバー同士（AとB）を強引に結びつけ、脳内に新たな「アドホック・カテゴリー（特定の目的のために即席で作られる一時的カテゴリー）」を事後的に仮構築する認知的なアクロバットであると言えます。,意味的カテゴリーの認知的表象（Cognitive Representations of Semantic Categories）,1975年,エレノア・ロッシュ（Eleanor Rosch / カリフォルニア大学バークレー校）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.5,類義語・反義語を用いたパラダイム的選択の意図的違反,言語の生成は、「選択の軸（パラダイム）」と「結合の軸（シンタグム）」という二つの次元で成り立っていることが明らかになっています。パラダイム的選択とは、ある文脈において「どの単語を置き換え可能か」という類義語や反義語などの選択肢の集合を指します（例：「私が【走る・歩く・止まる】」）。優れた詩的表現やレトリックは、この選択の軸において、日常的な予測を裏切るような単語（本来ならその文脈で選択されない言葉）をあえて選ぶ「意図的違反」を行うことで、受け手に強い印象と新しい意味作用をもたらすことが分かりました。,なぞかけは、言語の「パラダイム的選択の意図的違反」を極限まで遊び尽くすゲームです。通常、「お題」に対して連想されるパラダイム（類義語や関連語）の中から「解」を選ぶと、単なる同義語の反復になり面白みがありません。なぞかけでは、お題のパラダイムからは絶対に選択されないはずの異質な単語を「解」として提示します。しかし、「その心は（オチ）」へと至る結合の軸において同音異義語や多義語を用いることで、ヤコブソンの言う「等価性の原理」が結合の軸へと投射されます。つまり、結合の軸における音声的な等価性が事後的に「意味的等価性」を偽装し、本来なら違反であるはずのパラダイム的選択に鮮やかな論理的妥当性を与えるのです。この「意図的違反と事後的な等価性の付与」のプロセスこそが、知的な快感を生み出します。,言語学と詩学（Linguistics and Poetics）,1960年,ロマン・ヤコブソン（Roman Jakobson / マサチューセッツ工科大学・ハーバード大学）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.6,概念メタファー理論におけるドメイン間写像（Mapping）の構造分析,メタファー（隠喩）は単なる詩的な修辞技法ではなく、人間の思考や認知の根本的なメカニズムそのものであることが提唱されました。私たちは、抽象的で理解しにくい概念（ターゲット・ドメイン）を、具体的で経験的な概念（ソース・ドメイン）に「写像（マッピング）」することで世界を理解しています。たとえば、「議論は戦争である」という概念メタファーにおいて、私たちは「相手の主張を撃ち落とす」「守りを固める」といった戦争ドメインの構造を、議論ドメインへとシステマティックにマッピングし、思考の枠組みを形成していることが判明しました。,なぞかけの構造（「AとかけてBととく」）は、概念メタファーにおける「ドメイン間写像」を、極めて人工的かつ圧縮した形で再現したものと捉えることができます。A（ターゲット・ドメイン）とB（ソース・ドメイン）は全く異なる領域に属していますが、「C（オチ）」が提示されることで、両者の間に瞬間的なマッピングが成立します。ただし、通常のメタファーが「経験的・身体的な類似性」に基づいてマッピングされるのに対し、なぞかけは「同音異義」や「多義性」といった音韻的・語彙的な偶然を媒介として構造的なマッピングを強制します。なぞかけとは、言語システムに内在するバグを利用して、脳内に一瞬だけ「本来ならあり得ない概念メタファー」を成立させる知的ハッキングであると分析できます。,レトリックと人生（Metaphors We Live By）,1980年,ジョージ・レイコフ（George Lakoff / カリフォルニア大学バークレー校）、マーク・ジョンソン（Mark Johnson / サザンイリノイ大学）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.7,換喩（メトニミー）の隣接性が生み出す論理的飛躍のメカニズム,認知言語学において、換喩（メトニミー）は単なる修辞技法ではなく、人間の基本的な認知メカニズムの一つとして捉えられています。隠喩（メタファー）が「類似性（AはBのようだ）」に基づくのに対し、換喩は「隣接性（AとBは関係が深い）」に基づきます。例えば、「赤ずきんが来た」という表現において、「赤いずきん」と「それを被っている少女」は空間的・物理的に隣接しているため、一方が他方を指し示すことが可能です。レイコフとジョンソンは、この隣接性に基づく参照機能が、私たちの思考や行動を形作る上で不可欠であることを示しました。部分で全体を代表させたり（「顔を出す」）、容器で中身を表したり（「鍋を食べる」）するプロセスは、認知的な処理負担を減らし、最も際立った特徴に注意を向けさせる効率的なメカニズムとして機能しているのです。,なぞかけにおける「AとかけてBと解く」という飛躍は、しばしばこのメトニミー的隣接性を巧妙に利用しています。例えば、「お茶とかけて、絶体絶命のピンチと解く」その心は「どちらも『きゅうす（急須／休す）』でしょう」といった場合、お茶と急須は「内容物と容器」あるいは「目的と道具」という極めて強い隣接関係にあります。優れたなぞかけは、この隣接性を利用して聞き手の脳内に特定のスキーマ（枠組み）を素早く立ち上げさせます。「お茶」と聞いた瞬間、聞き手の意識は無意識のうちに「茶柱」「湯呑み」「急須」といった隣接する概念ネットワークに広がります。そして「心」の部分で、そのネットワーク上の特定の結節点（急須）が、もう一つの全く異なる文脈（万事休す＝絶体絶命のピンチ）と突然結びつくのです。メトニミーによる滑らかな連想の広がりがあるからこそ、その後の同音異義語による論理的飛躍が、心地よい「驚き」と「納得」を生み出すと言えます。,『レトリックと人生』（原題: Metaphors We Live By）,1980年,ジョージ・レイコフ、マーク・ジョンソン
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.8,語彙概念構造（LCS）を用いたなぞかけの「心」の動的生成モデル,語彙概念構造（Lexical Conceptual Structure: LCS）は、動詞などの語彙が持つ意味を、普遍的な概念の組み合わせとして記述しようとする意味論の枠組みです。例えば、「溶かす」という動詞は、単なる一つの意味の塊ではなく、[x CAUSE [y BECOME liquid]]（xが、yを、液体になるよう、引き起こす）というような、より細かい意味的な構成要素（「原因」「変化」「状態」など）のネットワークとして分析されます。レイ・ジャッケンドフや影山太郎らの研究により、人間の脳内辞書における語彙の意味は、このような構造化された事象のテンプレートとして保持されており、文脈に応じてその構造の一部が前景化したり後景化したりすることが明らかになっています。つまり、言葉の意味は固定されたものではなく、使用される状況に合わせて動的に生成・調整されるのです。,なぞかけの「心」が成立する瞬間は、まさにこのLCSの動的な書き換え、あるいは異なる構造の重ね合わせが起きている状態として説明できます。例えば、「氷とかけて、誤解と解く」その心は「どちらも『とける（溶ける／解ける）』でしょう」という即興のなぞかけを考えてみましょう。「溶ける」のLCSは自然現象としての [y BECOME liquid]（対象が物理的な液体に変化する）という事象構造を持ちますが、「解ける」のLCSは [y BECOME resolved]（対象が心理的な解決状態に変化する）という抽象的な事象構造を持ちます。なぞかけの「心」が開示された瞬間、聞き手は音韻的な同一性（トケル）を足場にして、これら二つの全く異なるLCSを瞬時にマッピングし、重ね合わせます。この「異なる事象構造（LCS）が、一つの音声形式を介して脳内で一瞬だけ同型になる錯覚」こそが、なぞかけの「アハ体験」の正体であり、語彙概念構造の柔軟性を最大限に遊ぶ知的ゲームだと言えるでしょう。,『意味の構造?概念意味論』（原題: Semantic Structures） / 『動詞意味論』,1990年 / 1996年,レイ・ジャッケンドフ / 影山太郎（LCSの日本語研究への応用）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.9,提喩（シネクドキ）による包摂関係の逆転と意外性,提喩（シネクドキ）は、カテゴリーの「類（上位概念）」と「種（下位概念）」の関係を利用した修辞技法です。例えば、「花見に行く」と言えば、植物全般の花（類）ではなく「桜（種）」を指し、「お茶にする」と言えば、緑茶（種）に限らず「休憩や飲み物全般（類）」を指します。認知言語学者の瀬戸賢一らは、シネクドキを人間のカテゴリー化の認知プロセスと深く結びつけて考察しています。私たちは日常的に、あるカテゴリーの中で最もプロトタイプ（典型的）なものを全体を代表するものとして扱ったり、逆に特定のものを指すのにあえて抽象的な上位概念を用いたりしています。この「包摂関係（包含関係）の上下移動」は、文脈への依存度が高く、話し手と聞き手の間で共通の文化的背景や文脈が共有されている場合にのみ機能する高度なコミュニケーション戦略です。,なぞかけにおける「謎」と「心」の関係には、このシネクドキ的な包摂関係の操作が頻繁に観察されます。特に、意図的に包摂関係を逆転させたり、ズラしたりすることで意外性を生み出す手法です。例えば、「花とかけて、良い薬と解く」その心は「どちらも『きく（菊／効く）』でしょう」。ここでは、「花」という極めて広い上位概念（類）から、特定の植物である「菊（種）」へと概念が急降下しています。聞き手は「花」と聞いて、桜やバラやチューリップといった様々な下位概念をぼんやりと想定しますが、「心」の部分でピンポイントに「菊」という特定の下位概念へ着地させられます。この、広いカテゴリーから極めて限定的な要素への急激な焦点の絞り込み（類から種へのシネクドキ的移動）が、同音異義語の発見と組み合わさることで、「なるほど、そこを切り取ったか！」という鮮やかな意外性と知的な快感を生み出すのです。,『メタファー思考』,1995年,瀬戸賢一
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第1章 意味論・語彙論（Semantics and Lexicology）,1.10,複合語における構成要素の意味的透明性の操作と錯覚,私たちが「青空」や「消しゴム」といった複合語を理解する際、頭の中でどのような処理が行われているのでしょうか。心理言語学における形態素処理の研究では、複合語が「青」と「空」のように構成要素に分解されて理解されるのか、あるいは一つのまとまった単語として記憶から直接引き出されるのかが長年議論されてきました。多くの実証研究により、この処理ルートは単語の「意味的透明性（semantic transparency）」に大きく依存することが分かっています。たとえば「青空（青い空）」のように構成要素から全体の意味が容易に推測できる（透明性が高い）単語は、構成要素に分解して処理されやすい傾向にあります。一方、「出鱈目（出＋鱈＋目）」のように、構成要素の意味と全体の意味が乖離している（透明性が低い、または不透明な）単語は、分解されずに一つの塊として直接処理されることが示されています。しかし、ここで興味深い「錯覚」が生じることがあります。本来は不透明な複合語であっても、文脈や意図的な操作によって音声的な再分析（reanalysis）が行われると、本来優位であるはずの「全体としての処理」が妨害され、強制的に構成要素へと分解して解釈しようとする「錯覚」が生じることがあるのです。,なぞかけにおける「同音異義語」や「掛詞」のメカニズムは、この複合語の意味的透明性の操作と再分析を応用していると言えます。たとえば、「『ごまかし（胡麻化し）』とかけて『お菓子作り』と解く。その心は『どちらも甘く見ると失敗します（胡麻＋菓子）』」という（やや強引な）なぞかけがあったとします。ここでは、「ごまかし」という全体で一つの意味（欺瞞）を持つ不透明な語に対し、音声的な類似性を利用して「胡麻＋菓子」という全く別の形態素への分解を強制しています。聞き手は、二重経路モデルにおいて本来優位であるはずの「全体アクセス」ルートに引きずられつつも、唐突に提示された「胡麻＋菓子」という文字通りの意味の処理を強制されるため、一瞬の「意味的な錯覚」に陥ります。そして、両者を結びつける「甘い（味が甘い／考えが甘い）」という多義的なオチが提示されることで、その錯覚が解消され、知的なカタルシス（笑いや納得）が生まれるのです。,Modeling Morphological Processing（形態素処理のモデリング：並列二重経路モデルの提唱）,1995年,"Robert Schreuder, R. Harald Baayen / マックス・プランク心理言語学研究所など"
