象限,対象国,類型,事象・噂の名称,実践内容・信じられている内容,社会的機能,心理的効果,[事実確認]学術的背景・反証,事例1：状況,事例1：表現,事例1：分析,事例2：状況,事例2：表現,事例2：分析,事例3：状況,事例3：表現,事例3：分析
第1象限（秩序と伝達）,日本,【都市伝説】,謎のビジネスマナーと失礼クリエイター,「『了解しました』は目上に使ってはならない」「『ご苦労様』は失礼」など、伝統的ではないルールが絶対の礼儀として信じられている。,マナー講師等の権威付けと、社内・取引先における明確な上下関係の確認・維持。,「失礼にあたるのではないか」という不安を煽り、同調圧力への服従を促す。,[反証]「了解」が失礼というルールは2000年代以降に一部のマナー講師が提唱した新語・偽ルールであり、国語学的な根拠や歴史的背景は存在しない。,取引先からのメールへの返信,「『了解しました』ではなく『承知いたしました』を使わなければならない」,本来フラットな意味の言葉に人為的な上下関係を付与し、マウントの道具としている。,目上の人をねぎらう時,「『ご苦労様です』は失礼なので『お疲れ様です』と言わなければならない」,江戸～昭和初期までは目下から目上へも使われていたが、軍隊用語等の影響で近年ルールが捏造・固定化された。,社内メールの書き出し,「初めての相手でも『いつもお世話になっております』から始める」,実態を伴わない形骸化した挨拶だが、秩序を守るための「呪文」として機能している。
第2象限（共感と審美）,日本,【都市伝説】,「ありがとう」ポルトガル語起源説,日本語の「ありがとう」は、大航海時代に来日した宣教師が使ったポルトガル語の「オブリガード（Obrigado）」が語源であるという噂。,異文化交流のロマンを演出し、雑学として仲間内で共有・消費する。,遠い異国との歴史的な繋がりを感じ、アハ体験と知的な連帯感を得る。,[反証]「有難し（ありがたし）」は8世紀の『万葉集』や『枕草子』にも記されており、16世紀のポルトガル人来航より遥か昔から存在する。完全な民間語源（偶然の類似）である。,友人同士で雑学を語り合う時,「ありがとうの語源って、実はポルトガル語のオブリガードなんだよ」,発音が似ているという直感的なわかりやすさが、デマの拡散力を高めている。,歴史や国際交流に思いを馳せる時,「宣教師が日本人に感謝を伝えた言葉が定着した」というストーリーとして語る。,事実よりも「ロマンチックな物語」の方が人間の共感を呼びやすいことを示している。,ネット掲示板やSNSでの披露,「日本古来の言葉だと思っていたのに衝撃！」と同調する。,正しい知識よりも、驚きという感情を共有するツールとして消費されている。
第3象限（論争と闘争）,日本,【事実】,ネット政治におけるレッテル貼りと分断語彙,相手の主張を論破・無効化するために、「ネトウヨ」「パヨク」「老害」などの単純化したラベリングを行う。,複雑な政治的議論をショートカットし、敵味方を明確に分けて味方陣営の結束を固める。,相手を「対話の余地のない愚者」と見なすことで、優越感と安心感を得る。,[背景]匿名掲示板の文化から発展。アルゴリズムによるエコーチェンバー現象と相まって、極端な他者排除の言語実践が社会に定着した。,左派的・リベラルな意見を攻撃する時,「これだからパヨクは」「反日」,特定の不祥事や言葉を掛け合わせた侮蔑語により、相手の主張を道徳的に貶める。,右派的・保守的な意見を攻撃する時,「ネトウヨの妄想」「冷笑系」,知性が低い、または感情的であるという前提を置き、まともな議論の対象から外す。,高齢者の発言や価値観を非難する時,「老害は黙ってろ」「アップデートできてない」,年齢という変えられない属性を攻撃の対象にし、世代間の断絶を決定的なものにする。
第4象限（対立の遊戯的昇華）,日本,【事実】,サラリーマン川柳によるルサンチマンの昇華,職場の理不尽、上司への不満、家庭での肩身の狭さを5・7・5のユーモアに変換して詠み上げる。,直接言えない不満を「笑い」に変換することで、組織や家庭内の致命的な対立を回避するガス抜き。,自虐的な笑いを多数の人と共有することで、「辛いのは自分だけではない」というカタルシスを得る。,[背景]日本社会特有の終身雇用・年功序列の中で、下克上を行わず体制に従順なままストレスを緩和する文化的装置。,ITに疎い上司に振り回された時,「パスワード 探して今日も 日が暮れる」,上司の無能さを直接非難せず、ユーモラスな情景として描写することで怒りを中和する。,家庭内での立場の弱さを嘆く時,「小遣いが 減って家計が 潤った」,大黒柱でありながら発言権がないという構造的矛盾を、見事な論理の逆転で笑い飛ばす。,部下や若手社員とのジェネレーションギャップ,「『やれ』と言う こいつがやれば いいのにな」,指示を出す側・出される側の永遠の平行線を、短い文字数で鮮やかに切り取っている。
第1象限（秩序と伝達）,中国,【事実】,親族呼称の社会的拡張（虚構の血縁）,血の繋がっていない他者に対しても「叔叔（おじ）」「阿姨（おば）」「哥（兄）」などの親族呼称を用いる。,儒教的な長幼の序を社会全体に適用し、円滑な人間関係と擬似的な共同体意識を構築する。,相手に敬意と親密さを同時に伝えることで、警戒心を解き、要求を通しやすくする。,[背景]中国社会における「関係（グアンシー）」重視の文化に基づく。見知らぬ他者を「家族の枠組み」に組み込むことで、敵対を避け協調を引き出す社会言語学的手法。,飲食店や街角で年上の女性に話しかける時,「阿姨（アーイー）、道を教えてください」,単なる「あなた」ではなく、目上の親族として扱うことで、無下に断られない心理的状況を作る。,職場で少し年上の男性の先輩を呼ぶ時,「〇〇哥（グァ）」と名前の後に付ける。,公式な役職名よりも親しみを込めつつ、確実に「あなたの方が上だ」というヒエラルキーを保証する。,子供に親の友人や近所の人を挨拶させる時,「叔叔（シュシュ）に挨拶しなさい」,幼少期から、年齢に基づいた社会的秩序（儒教的ヒエラルキー）を言語を通じて身体化させる。
第2象限（共感と審美）,中国,【事実】,数字とアルファベットによる諧音（同音異義）スラング,「520」「YYDS」「88」など、発音の類似やピンインの頭文字を利用したネットスラングを使用する。,デジタル空間での高速なコミュニケーションを実現し、若者特有の暗号として連帯感を生む。,タイピングの労力を減らしつつ、感情をポップに表現することで、仲間内での親密さを高める。,[背景]中国語は同音異義語が非常に多い言語的特徴を持つ。また、検閲システムやピンイン入力の普及が、独自の文字遊び文化を爆発的に発展させた。,恋人や推しのアイドルに愛を伝える時,「520（ウーアルリン）」とメッセージを送る。,「我愛?（ウォアイニー）」と発音が似ているため。直接的な愛の表現を避けつつ、ロマンチックに伝える。,素晴らしいものや人を極限まで褒め称える時,「YYDS（永遠的神）」とコメントする。,「Ying Yuan De Shen」の頭文字。大げさな表現をアルファベットに圧縮することで、ネット特有のノリを生み出す。,チャットを終えて別れを告げる時,「88（バーバー）」と打つ。,「拝拝（バイバイ）」の諧音。単なるさよならよりも軽快で、デジタルネイティブ世代の標準的な挨拶。
第3象限（論争と闘争）,中国,【事実】,ネットナショナリズムの攻撃語彙とキャンセルカルチャー,「辱華」「漢奸」「慕洋犬」など、愛国心を基準にして他者を激しく非難・攻撃する言葉。,ネット上での愛国的正当性を競い合い、少しでも異論を持つ者を社会的に抹殺（キャンセル）する。,「国家を守る正義の味方」として振る舞うことで、現実社会での不満を解消し、強烈な万能感を得る。,[背景]愛国主義教育の浸透と若いナショナリストの台頭。当局の検閲基準と合致するため、この種の攻撃語彙は放置・拡散されやすい。,海外ブランドや芸能人が中国の逆鱗に触れた時,「これは『辱華（中国を侮辱する）』行為だ、不買しろ！」,個別の事象を直ちに「国家への攻撃」にすり替え、集団ヒステリーを正当化するマジックワード。,親欧米的な発言をした国内の知識人を攻撃する時,「この『慕洋犬（外国を慕う犬）』め」,相手を「人間以下の犬」に喩えることで道徳的なタガを外し、容赦ない個人攻撃を可能にする。,歴史認識や政策に少しでも疑問を呈した者に対して,「お前は『漢奸（売国奴）』だ」,日中戦争時などに使われた極めて重い裏切り者のレッテルを安易に使用し、相手の社会的な発言権を完全に奪う。
第4象限（対立の遊戯的昇華）,中国,【事実】,検閲回避のバクロニム・神獣スラング,「草泥馬」「河蟹」「趙家人」など、政府の検閲対象となる言葉を、同音の架空の動物や文学の引用に置き換えて体制を揶揄する。,言論統制に対する市民のささやかな抵抗であり、検閲システム（AIや人力）の裏をかく知的な言葉遊び。,直接的な批判が不可能な社会において、権力を笑い飛ばすことで絶望感をユーモアに昇華させる。,[背景]厳しいネット検閲への対抗手段。社会学的には「弱者の武器（ジェームズ・スコット）」の一形態として分析される。,ネット上で激しい怒りや罵倒を表現したい時,「草泥馬（ツァオニーマー）」という架空のアルパカの画像を貼る。,「??媽（お前の母ちゃんを犯す）」の諧音。下品な言葉や怒りを、可愛い動物の皮を被せて発信する。,自分の投稿が運営や政府によって削除された時,「私の記事が『河蟹（フーシエ）』された」,政府のスローガン「和諧社会」の諧音。弾圧を「カニに食べられた」と表現し、皮肉る。,絶対に批判できない共産党の特権階級を指す時,「彼らは『趙家人（チャオ族）』だから」,魯迅の小説『阿Q正伝』に登場する地主の名字を引用。検閲システムに引っかからずに権力構造の腐敗を批判する。
第1象限（秩序と伝達）,韓国,【事実】,圧迫的絶対敬語と年齢マウント,たとえ1歳差であっても「ヒョン（兄）」「オンニ（姉）」の呼称を強要し、モノに対してまで過剰な敬語を使用する。,強固な儒教的ヒエラルキーを日常のすべての人間関係に適用し、絶対的な上下関係を明確にする。,上位者は敬われることで権力を実感し、下位者は常に自分の立場をわきまえるよう心理的に服従させられる。,[背景]朝鮮時代の身分制度と儒教思想が、現代の軍隊文化や苛烈な競争社会と結びつき、言語的な序列付けが固定化したもの。,初対面の人間同士が自己紹介をする時,出会って数分で「何年生まれですか？（? ??????）」と聞く。,年齢によってタメ口か敬語かを決定し、直ちに権力関係を確定させる儀式。,カフェやデパートの店員が客に対応する時,「コーヒーが出られました（?? ??????）」と言う。,客の提供物に対してまで主体尊敬語を使うことで、客への服従を表現する（文法的には誤りだが広く定着）。,大学のサークルなどで1つ上の先輩と話す時,絶対に「ヒョン（兄）」「先輩」と呼び、逆らうことは許されない。,「親しき仲にも礼儀あり」を超えた絶対服従の言語化。名前を呼び捨てにすることは重大な侮辱となる。
第2象限（共感と審美）,韓国,【都市伝説】,ハングルの「窓桟（まどさん）起源説」,世宗大王がハングルを創製した際、部屋の「窓の桟（格子の形）」を見て文字の形を思いついた、という民間伝承。,ハングルの幾何学的でシンプルな美しさを、日常の風景と結びつけてロマンチックに説明する。,自国の文字がいかに直感的で身近な発想から生まれたかを感じ、民族的な誇りと親近感を抱く。,[反証]1940年に『訓民正音解例本』が発見され、ハングルは「発音器官の形」と「陰陽五行思想」に基づいて科学的に作られたことが証明されたため、窓桟説は明確なデマである。,学校の授業や子供にハングルの成り立ちを教える時,「窓の格子の形を見て作ったんだって（?? ??? ?? ????）」,複雑な音声学の理論（解例本の内容）を説明するよりも、ビジュアルとして圧倒的に想像しやすいため語り継がれた。,外国人に対してハングルの覚えやすさをアピールする時,「窓の形を模した文字だからシンプルでしょ（?? ??? ?? ??）」,文字の審美的な特徴（直線と丸の組み合わせ）を、伝統的な家屋のイメージと重ね合わせてアピールする。,日常会話で文字の形について雑談する時,「昔の人が窓を見て文字を作るなんてロマンチックだ（?? ???? ??? ?? ??? ????? ?????）」,事実（発音器官の模写）の方が学術的には凄いが、大衆にとっては「窓の格子」という物語の方が情緒的で共感を呼ぶ。
