文化名,発祥時代,概要説明,当事者,背景,攻撃,切り返し,評価ポイント,用語解説,引用元情報,編集方針
掛詞,平安時代,一つの音に二つ以上の意味を持たせ 自然の風景と人間の心情を同時に表現する多重意味の修辞技法,藤原行成 清少納言,行成が夜明け前に帰り 鶏の鳴き声に急かされたと言い訳をしたことへの贈答,行成「思いのほか早く鶏が鳴いてしまいまして」に対する清少納言「あの函谷関の偽りの鶏の鳴き声でしょうか」行成「いいえ 逢坂の関です」,清少納言「夜をこめて鳥のそら音ははかるともよに逢坂の関はゆるさじ（夜深く鶏の鳴き真似をして騙そうとしても この逢坂の関は決して開きませんよ）」,行成が「逢坂（逢う）」と掛詞で誘ったのに対し 清少納言が中国の故事を踏まえつつ「逢坂の関」を絶対に通さない（逢わない）と知的に拒絶した点,函谷関 孟嘗君 逢坂の関,枕草子,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
掛詞,平安時代,一つの音に二つ以上の意味を持たせ 自然の風景と人間の心情を同時に表現する多重意味の修辞技法,藤原定頼 小式部内侍,歌合に参加する小式部内侍に対し 定頼が「代筆する母親がいる丹後国に使いは出しましたか」とからかった,定頼「お母様からの手紙はまだ来ませんか 歌合が近づいて心配でしょう」と公衆の面前で嫌味を言う,小式部内侍「大江山いく野の道の遠ければまだふみもみず天の橋立（大江山を越え生野を通る丹後への道は遠いので まだ母のいる天の橋立の地を踏んでもいませんし 手紙も見ていません）」,突然の侮辱に対し 即座に「生野（行く）」「踏み（手紙と足で踏む）」という複数の掛詞を織り交ぜた見事な和歌で反撃し 自身の歌才を証明した点,歌合 丹後国 大江山 天の橋立,十訓抄 金葉和歌集,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
掛詞,平安時代,一つの音に二つ以上の意味を持たせ 自然の風景と人間の心情を同時に表現する多重意味の修辞技法,藤原兼家 藤原道綱母,夫の兼家が夜遅くに訪ねてきて門を開けるよう要求したが 妻は他の女性の元へ通う夫に不満を抱いていた,兼家「早く門を開けてくれ 夜露で濡れてしまう」と門を叩く,道綱母「嘆きつつひとり寝る夜の明くる間はいかに久しきものとかは知る（あなたが来るのを嘆きながら一人で寝る夜が明けるまでの時間が どれほど長く苦しいものかご存知ですか）」,「明くる間」に「夜が明ける」と「戸が開く」の掛詞を潜ませ 門を開けない理由を夫への知的で痛烈な批判として表現した点,蜻蛉日記 通い婚,蜻蛉日記 拾遺和歌集,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
縁語,平安時代,特定の言葉に関連する語を和歌の中に散りばめ 表面上の情景とは別の裏の意味や余韻を構築する修辞技法,藤原道長 紫式部,道長が夜中に紫式部の部屋を訪れ 戸を叩いて開けさせようとした,道長「夜もすがら水鶏よりけに鳴く鳴くは真木の戸口にたたきつつのみ（水鶏のように泣きながら ずっとあなたの戸を叩いているのですよ）」,紫式部「ただならじとばかり叩く水鶏ゆゑ開けてはいかに悔しからまし（尋常ではない叩き方をする水鶏ですね もし開けてしまったら どれほど後悔したことでしょう）」,道長が用いた「水鶏」と縁語関係にある「叩く」の比喩をそのまま逆手に取り 開門を拒絶しつつも風流な和歌として完璧に応酬した点,水鶏 真木の戸,紫式部日記,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
縁語,平安時代,特定の言葉に関連する語を和歌の中に散りばめ 表面上の情景とは別の裏の意味や余韻を構築する修辞技法,文屋康秀 小野小町,三河国に赴任する康秀が 都に残る小町に対し 地方へ一緒に行かないかと手紙で誘った,康秀「私の任地である三河の国へ一緒に下りませんか」と誘いをかける,小町「わびぬれば身をうき草の根を絶えて誘ふ水あらばいなむとぞ思ふ（落ちぶれて辛い我が身を 根の絶えた浮草のように感じています 誘ってくれる水があるなら どこへでも流れて行きましょう）」,「水」に関連する縁語「うき草」「根を絶え」「誘ふ水」を駆使し 相手の誘いを風流な自然の情景に仮託して美しく応じた知性,三河掾 浮草 古今和歌集,古今和歌集,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
縁語,平安時代,特定の言葉に関連する語を和歌の中に散りばめ 表面上の情景とは別の裏の意味や余韻を構築する修辞技法,小野小町 僧正遍昭,小町が遍昭の寺に立ち寄り 宿を貸してほしいと頼んだ際の冗談交じりの贈答,小町「岩の上に旅寝をすればいと寒し苔の衣を我に貸さなむ（岩の上での旅寝は寒くてたまりません 僧侶であるあなたの苔の衣を貸してください）」,遍昭「世をそむく苔の衣はただ一重かさねばうとしいざふたり寝む（出家者の衣は一重しかありません 貸さないと薄情だと思われるので いっそ二人で一緒に寝ましょう）」,仏道修行の象徴である「苔の衣」に対し 衣服の縁語である「一重」「かさね 貸さね 重ね」を用いて 戒律を破るような大胆な冗談を機知として返した点,苔の衣 世をそむく,後撰和歌集,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
連歌 付句,古代,一人が上の句を詠み もう一人がそれに続く下の句を即座に詠み足すことで 機転と連想能力を競う言葉遊び,ヤマトタケル 御火焼翁,東征の帰途 筑波山を過ぎたあたりでヤマトタケルが自らの行軍の日数を問いかける上の句を詠んだ,ヤマトタケル「新治筑波を過ぎて幾夜か寝つる（新治や筑波を過ぎてから 一体何日寝泊まりしただろうか）」,御火焼翁「日々並べて夜には九夜日には十日を（日数を並べてみますと 夜で九泊 昼で十日になります）」,皇子の投げかけた問いに対し 焚き火の番をしていた身分の低い老人が即座に正確な日数を韻律に乗せて返し その機転が称賛され褒美を与えられた点,東征 筑波山 連歌の起源,古事記 日本書紀,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
連歌 付句,平安時代,一人が上の句を詠み もう一人がそれに続く下の句を即座に詠み足すことで 機転と連想能力を競う言葉遊び,藤原公任 清少納言,雪が降る中 公任が清少納言の教養を試すため 白居易の詩を踏まえた下の句を送りつけ それに合う上の句を作るよう求めた,公任「少し春ある心地こそすれ（まるで少し春が来たかのような気分がすることだ）」という下の句を突きつける,清少納言「空寒み花にまがへて散る雪に（空が寒く 桜の花びらのように錯覚して舞い散る雪によって）」,公任が中国の漢詩の情景を和歌に翻訳して試したのに対し 清少納言がその意図を瞬時に見抜き 見事な情景の上の句を付けて才能を認めさせた点,白氏文集 付句,枕草子,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
連歌 付句,平安時代,一人が上の句を詠み もう一人がそれに続く下の句を即座に詠み足すことで 機転と連想能力を競う言葉遊び,源義家 安倍貞任,前九年の役の戦場にて 敗走する敵将の貞任に対して 追撃する義家が馬の上から上の句を投げかけて挑発した,義家「衣のたてはほころびにけり（お前の拠点である衣川の館は崩壊したぞ 衣の縦糸がほころびたようにな）」,貞任「年を経し糸の乱れの苦しさに（長年の戦乱で糸が乱れるように 苦しい状況が続いたからです）」,命がけの戦場の追撃戦において 敵将から投げかけられた「衣」「ほころび」という縁語を含む上の句に対し 振り返りざまに「糸」「乱れ」という縁語を重ねて見事に下の句を返した武将の教養,前九年の役 衣川の戦い 縁語,古今著聞集 陸奥話記,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
難題と謎解き（文字・表記の機知）,平安時代,文字の読み方や表記のルールを逆手に取り 相手の仕掛けた罠や難題を解読して知性を競う言葉遊び,嵯峨天皇 小野篁,小野篁が内裏に立てられた「無悪善」という札を「嵯峨天皇がいなければ良い」と読んだため 天皇が怒り彼の学識を試す難題を出した,天皇は「子子子子子子子子子子子子」という12個の「子」からなる文字を書き これを読破できなければ処罰するという命がけの難題を突きつけた,篁は即座に「ねこのここねこ ししのここじし（猫の子小猫 獅子の子小獅子）」と淀みなく読み上げてみせた,「子」という漢字が持つ「ね」「こ」「し」という複数の訓読みと音読みをパズルのように組み合わせ 命がけの局面で瞬時に意味の通る言葉として解読した天才的な言語処理能力,嵯峨天皇 小野篁 宇治拾遺物語 無悪善,宇治拾遺物語,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
